Personeelsnummer,Roepnaam,Tussenvoegsel,Achternaam,Adres,PC,Plaats,Tel,Geboortedatum
9684007466,Mark,,Koeling,Ruijsdaelstraat 126,2264MJ,Naaldwijk,06-24591907,1969-08-08
1064133422,Maurice,,Kuijpers,Gerrit van der Veenlaan 23,2285KC,Den Haag,0174 244411 06 54628544,1963-09-08
2701381683,Michael,van,Lieffering,Erasmusweg 369,2583PA,Den Haag,0174-517393,1978-10-10
6440209972,Patrick,van den,Lint,Doys van der Doesstraat 7,2564JD,'s-Gravenzande,070-4306600,1986-03-25
3141575478,Perry,de,Lourens,Seghersstraat 45,2694GT,Monster,070-3945344,1966-04-29
7410947767,Robin,,Louweret,Renbaanstraat 8,2691HD,Rijswijk Zh,079-3615957,1989-10-22
4827846198,Roeland,,Lugt,J Boezerstraat 72,2265GE,Den Haag,015-3808173,1991-09-23
2267168312,Ruben,van,Mahmoud,Hoefkade 188,2281VJ,Leidschendam,0174 4520956,1999-01-21
6445537978,Sander,,Melfor,J Bosmanstraat 59,2693AN,'s-Gravenzande,0174-631273,1997-03-27
8033958585,Scott,van,Molenaar,Heliotroop 30,2565CB,Den Haag,070-3913521,1993-11-17
1059805244,Stefan,,Oemed,Schrijnwerkersgaarde 64,2671DW,Naaldwijk,0174 417318,1992-01-07
5450107204,Sven,van,Offereins,Ankeveensestraat 30,2553TS,Rijswijk Zh,070-3979772,1977-06-29
5381584326,Tim,,Oostdam,Buitenhofdreef 188,2631GE,Den Haag,0174 415957,1998-08-13
1376883144,Vinay,,Os,Albert Termotestraat 141,2282LN,Zoetermeer,0174-245262,1981-10-14
5721792970,Yvo,,Ouwerkerk,Terwestenstraat 124,2545LL,Den Haag,070-3550995,1984-01-07
1940856779,Arno,,Overkleeft,Kleine Woerdlaan 16,2681KR,Wateringen,015-2615111,1963-02-24
7444587466,Arthur,,Petronilia,Dr. H. E. van Geldererf 187,2548TP,Maasland,0174-245816,1990-07-19
4377320909,Arthur,,Plomp,Doldersestraat 4,2561BJ,Delft,070-3971611,1995-04-04
8289093839,Bart,van,Pop,Van Vredenburchweg 4,2551WR,Wateringen,0174-242427,1992-10-02
1929487952,Bob,,Schelt,Ruys de Beerenbrouckstr 18,3155GB,Wateringen,070-3887850,1964-09-03
2190268626,Chris,,Schie,Landzijde 74,2571TB,Den Haag,070-3979908,1972-01-13
2841771859,Edwin,,Schinkel,Bergeend 45,2624EZ,Den Haag,070-3675755,1998-01-13
7020192981,Erik,de,Schoemaker,Viool 66,2563VC,Den Haag,015-2571718,1960-11-14
4397675094,Jan,,Shimba,Mr Bruntstraat 5,2552HM,Maasland,070 3176164,2003-03-20
7509569621,Jaume,de,Sjardijn,Jan Romeinstraat 150,2515AZ,Den Haag,070-3934215,1965-04-07
8108453209,Joe,,Staaij,Dreeslaan 62,2726VV,Hoogmade,070-3502191,1962-06-05
8726292957,Jon,de,Sutorius,Mondriaan 53,2553NJ,Wateringen,070-3257700,1997-01-15
4499313758,Jos,,Toussaint,Buitenboogerd 7,2553AX,Vlaardingen,0174-517417,1974-04-01
7888381535,Justin,,Trompert,Ferrandweg 4,2563VG,Rijswijk Zh,0174-414368,1972-08-25
6812180960,Kees,van,Verbeek,Mgr. van Steelaan 534,2552JD,Monster,070-3200751,1973-12-30
3504623325,Mark,,Vliet,Warande 55,2571XJ,Voorschoten,070-3998060,1989-07-19
6172432998,Martijn,van,Vree,Puttensestraat 45,2295KJ,Zoetermeer,0174-441585,1964-01-19
8673379559,Maurice,,Vreede,Architect Margadanterf 30,2542BC,Den Haag,070-3649120,1998-10-15
7516339048,Michael,,Vros,Harry Denisstraat 54,2553EB,Den Haag,0174-626819,1971-06-17
5458175078,Michel,van der,Wanrooy,Schaarsbergenstraat 115,2285CA,'s-Gravenzande,070-4043816,1992-12-04
8500725353,Olaf,,Weijermans,Lodenvloer 13,2552WR,Rijswijk Zh,015 3108914,1987-03-20
9815084269,Rob,van,Wit,Martin Campslaan 559,2914AL,Den Haag,070-3906983,1979-02-09
4677643887,Rudi,van der,Zanten,Van der Helststraat 88,2532AZ,Delft,070-3671566,1986-10-11
6912562558,Sander,de,Zeeuw,Het Tolland 5,2641EA,Honselersdijk,015-2137546,1978-04-20
